name,city,state,type,source,category
Gaston Co-op,Garysburg,NC,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Gates Cotton Gin Inc,Gates,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Greene Gin & Cotton Co,Snow Hill,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Growers Ginning Co,Ayden,NC,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Harvey's Gin & Cotton,La Grange,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Hoke Robeson Gin,Red Springs,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Jones County Cotton Gin,Trenton,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Midway Gin Co,Maxton,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Piedmont Cotton Inc,Polkton,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Pitt County Gin,Bethel,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Producer's Gin & Warehouse,Murfreesboro,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Quality Gin Co,Dunn,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Roanoke Cotton Co,Halifax,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Roanoke Tar Cotton Inc,Everetts,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Rolling Hills Gin,New London,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Sampson Gin Co,Newton Grove,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Tarheel Cotton Co,Merry Hill,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Ward & Nixon Cotton Gin,Winfall,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Woodville Gin,Lewiston-Woodville,NC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Next GINeration Cotton Gin,Pratt,KS,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Northwest Cotton Growers Co-op,Moscow,KS,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Southern Kansas Cotton Growers,Anthony,KS,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Cotton Growers Co-Op,Altus,OK,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Farmers Co-Op Association,Eldorado,OK,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Farmers Co-op Gin,Grandfield,OK,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Great Plains Cotton Gin,Minco,OK,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Humphreys Co-op,Altus,OK,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Motley Gin Inc.,Hollis,OK,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Tri County Gin,Chattanooga,OK,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Western Planters,Hobart,OK,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Cameron Cotton & Seed Co,Cameron,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Coker Gin,Hartsville,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Culler Holstein Gin,Swansea,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Elloree Gin Co,Elloree,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Mayesville Gin Co,Mayesville,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
McColl Gin Co,Bennettsville,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
MEGCO Services,Estill,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Middling Cotton Co,St. Matthews,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Salters Gin,Salters,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
St. Charles Gin Co,Mayesville,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Valentine Cotton Co,Cope,SC,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Bemis Gin & Warehouse,Jackson,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Burlison Gin Co,Covington,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Cairo Farmers Gin,Alamo,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Crockett Gin Culverts & Pipe,Maury City,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Crockett Mills Gin,Friendship,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Elora Gin Co,Elora,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Espey Gin Co,McLemoresville,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Farmers Gin Of Humboldt,Humboldt,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Halls Gin Co,Halls,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Hickory Valley Gin Co,Hickory Valley,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Longtown Gin & Warehouse,Mason,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Nutbush Gin Co,Brownsville,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Oak Grove Gin,Somerville,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Tibbs Gin,Brownsville,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Two Way Gin Co,Brownsville,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Union Gin Co,Brownsville,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Yorkville Gin Co,Dyer,TN,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Adobe Walls Gin,Spearman,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Alamo-Kerley Gin,Saragosa,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Associated Cotton Growers,Saragosa,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Barta Gin,Damon,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Barwise Gin,Floydada,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
B F & M Co-op,Rosebud,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Birome Gin Co,Birome,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Caprock Gin Co,Ralls,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Carson County Gin,White Deer,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Citizens-Shallowater Co-op Gin,Shallowater,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
City Gin,Abernathy,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Coastal Plains Gin,Mathis,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Cotton Center Co-op Gin,Hale Center,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Darty Gin,Dougherty,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
D & J Gin,Lockney,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Fairchild Farmers Gin Co-op,Richmond,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Farmers Co-op Gin - East Bernard,East Bernard,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Farmers Gin & Grain Co,Abbott,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Five Points Gin,Seagraves,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Flower Grove Co-op Gin,Ackerly,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Floydada Co-op Gin,Floydada,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Friona Farmers Co-Op Gin,Friona,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Garlyn Co-op Gin,Post,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Hargill Growers Gin,Monte Alto,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Harlingen Gin Co,Harlingen,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Harmony Cotton Growers,Meadow,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Hereford Farmers Gin,Hereford,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Idalou Co-op Gin,Idalou,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Lubbock Cotton Growers,Lubbock,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Maple Co-op Gin,Maple,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Meadow Farmers Co-Op Gin,Meadow,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Midkiff Farmers Co-op Gin,Midkiff,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
New Home Co-op,Meadow,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Owens Co-op Gin,Ralls,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Parmer County Cotton Growers,Farwell,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Petersburg Co-op Gin,Petersburg,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Quarterway Cotton Growers,Plainview,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Ropes Farmers Co-op Gin,Ropesville,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Southwest Cotton Growers,Wellman,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Spade Co-Op Gin,Littlefield,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Springlake-Earth Cotton Growers,Springlake,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Tarzan Co-op Gin,Plains,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Texas Producers Co-op,Sudan,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Texas Star Co-op,Slaton,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
TriCounty Producers Co-Op,Loop,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
True Co-op Gin Co,Bishop,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
TXCOT Co-op Gin,Lorenzo,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
United Cotton Growers Co-Op,Levelland,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
United Ag Co-op,El Campo,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Valley Gin Co,Tornillo,TX,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Vanderbilt Farmers Co-op,Edna,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
WesTex Co-op Gin,Slaton,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Wells Farmers Co-op,O'Donnell,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Winter Garden Co-op,Batesville,TX,cooperative,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Commonwealth Gin,Windsor,VA,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Commonwealth South Hampton Gin,Windsor,VA,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
"Hawkins Gin, Inc",Emporia,VA,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
Mid-Atlantic Gin,Emporia,VA,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
"Suffolk Cotton Gin, Inc",Suffolk,VA,gin,FSA Master Cotton Ginners List / cottongins.org,gin/cooperative
,,Alabama,,State Cotton Associations,association
,,Arizona,,State Cotton Associations,association
,,Arkansas,,State Cotton Associations,association
,,California,,State Cotton Associations,association
,,California,,State Cotton Associations,association
,,Florida,,State Cotton Associations,association
,,Georgia,,State Cotton Associations,association
,,Kansas,,State Cotton Associations,association
,,Louisiana,,State Cotton Associations,association
,,Mississippi,,State Cotton Associations,association
,,Missouri,,State Cotton Associations,association
,,New Mexico,,State Cotton Associations,association
,,North Carolina,,State Cotton Associations,association
,,Oklahoma,,State Cotton Associations,association
,,South Carolina,,State Cotton Associations,association
,,Tennessee,,State Cotton Associations,association
,,Texas,,State Cotton Associations,association
,,Texas,,State Cotton Associations,association
,,Virginia,,State Cotton Associations,association
